dataset_number,physics_short,e-tag,crossSection_pb,genFiltEff,kFactor,nEvents,totalWeight,scaledWeight,process,generator,keywords,description,job_path,,,,,,,,,,,,,,,,,,,scaledWeights = crossSection_pb*
303329,MadGraphPythia8EvtGen_A14NNPDF23LO_RS_G_ZZ_llll_c10_m1000,e4175,0.0004122,1.00E+00,1,3000,3000,4.12E-04,pp>Graviton>ZZ>llll,MadGraph5_aMC@NLO(v2.2.3.p0)+Pythia8(v8.205)+EvtGen(v1.2.0),"['bsm', 'exotic', 'graviton', 'randallsundrum', 'warpeded']",Randall-Sundrum Graviton (1000 GeV) decaying to ZZ to four leptons,https://gitlab.cern.ch/atlas-physics/pmg/infrastructure/mc15joboptions/-/tree/master/share/DSID303xxx/MC15.303329.MadGraphPythia8EvtGen_A14NNPDF23LO_RS_G_ZZ_llll_c10_m1000.py,,,,,,,,,,,,,,,,,,,
303334,MadGraphPythia8EvtGen_A14NNPDF23LO_RS_G_ZZ_llll_c10_m2000,e4175,5.72E-06,1.00E+00,1,5000,5000,5.72E-06,pp>Graviton>ZZ>llll,MadGraph5_aMC@NLO(v2.2.3.p0)+Pythia8(v8.205)+EvtGen(v1.2.0),"['bsm', 'exotic', 'graviton', 'randallsundrum', 'warpeded']",Randall-Sundrum Graviton (2000 GeV) decaying to ZZ to four leptons,https://gitlab.cern.ch/atlas-physics/pmg/infrastructure/mc15joboptions/-/tree/master/share/DSID303xxx/MC15.303334.MadGraphPythia8EvtGen_A14NNPDF23LO_RS_G_ZZ_llll_c10_m2000.py,,,,,,,,,,,,,,,,,,,
303511,MadGraphPythia8EvtGen_A14NNPDF30_dmV_Zll_MET40_DM1_MM10,e4308,11.55,1.17E-01,1,10000,10000,1.35E+00,pp>chichiz,MadGraph5_aMC@NLO(v2.2.3.p0)+Pythia8(v8.186)+EvtGen(v1.2.0),"['bsm', 'exotic', 'wimp']","Dark matter (1 GeV) + Z(to leptons) production, 10 GeV mediator",https://gitlab.cern.ch/atlas-physics/pmg/infrastructure/mc15joboptions/-/tree/master/share/DSID303xxx/MC15.303511.MadGraphPythia8EvtGen_A14NNPDF30_dmV_Zll_MET40_DM1_MM10.py,,,,,,,,,,,,,,,,,,,
303512,MadGraphPythia8EvtGen_A14NNPDF30_dmV_Zll_MET40_DM1_MM100,e4391,0.4682,6.52E-01,1,10000,10000,3.05E-01,pp>chichiz,MadGraph5_aMC@NLO(v2.2.3.p0)+Pythia8(v8.186)+EvtGen(v1.2.0),"['bsm', 'exotic', 'wimp']","Dark matter (1 GeV) + Z(to leptons) production, 100 GeV mediator",https://gitlab.cern.ch/atlas-physics/pmg/infrastructure/mc15joboptions/-/tree/master/share/DSID303xxx/MC15.303512.MadGraphPythia8EvtGen_A14NNPDF30_dmV_Zll_MET40_DM1_MM100.py,,,,,,,,,,,,,,,,,,,
303513,MadGraphPythia8EvtGen_A14NNPDF30_dmV_Zll_MET40_DM1_MM300,e4391,0.063965,8.27E-01,1,10000,10000,5.29E-02,pp>chichiz,MadGraph5_aMC@NLO(v2.2.3.p0)+Pythia8(v8.186)+EvtGen(v1.2.0),"['bsm', 'exotic', 'wimp']","Dark matter (1 GeV) + Z(to leptons) production, 300 GeV mediator",https://gitlab.cern.ch/atlas-physics/pmg/infrastructure/mc15joboptions/-/tree/master/share/DSID303xxx/MC15.303513.MadGraphPythia8EvtGen_A14NNPDF30_dmV_Zll_MET40_DM1_MM300.py,,,,,,,,,,,,,,,,,,,
303514,MadGraphPythia8EvtGen_A14NNPDF30_dmV_Zll_MET40_DM1_MM2000,e4391,0.0001636,9.34E-01,1,10000,10000,1.53E-04,pp>chichiz,MadGraph5_aMC@NLO(v2.2.3.p0)+Pythia8(v8.186)+EvtGen(v1.2.0),"['bsm', 'exotic', 'wimp']","Dark matter (1 GeV) + Z(to leptons) production, 2000 GeV mediator",https://gitlab.cern.ch/atlas-physics/pmg/infrastructure/mc15joboptions/-/tree/master/share/DSID303xxx/MC15.303514.MadGraphPythia8EvtGen_A14NNPDF30_dmV_Zll_MET40_DM1_MM2000.py,,,,,,,,,,,,,,,,,,,
305550,Pythia8EvtGen_A14NNPDF23LO_Gee_01_750,e5080,2.4052,1.00E+00,1,,,#DIV/0!,RS Graviton -> e e,Pythia8(v8.210)+EvtGen(v1.2.0),"['BSM', 'RandallSundrum', 'exotic', 'graviton']","RS Graviton > ee, m = 750. GeV, kappaMG = 0.524.",https://gitlab.cern.ch/atlas-physics/pmg/infrastructure/mc15joboptions/-/tree/master/share/DSID305xxx/MC15.305550.Pythia8EvtGen_A14NNPDF23LO_Gee_01_750.py,,,,,,,,,,,,,,,,,,,
305553,Pythia8EvtGen_A14NNPDF23LO_Gee_01_1000,e5080,0.57205,1.00E+00,1,,,#DIV/0!,RS Graviton -> e e,Pythia8(v8.210)+EvtGen(v1.2.0),"['BSM', 'RandallSundrum', 'exotic', 'graviton']","RS Graviton > ee, m = 1000. GeV, kappaMG = 0.524.",https://gitlab.cern.ch/atlas-physics/pmg/infrastructure/mc15joboptions/-/tree/master/share/DSID305xxx/MC15.305553.Pythia8EvtGen_A14NNPDF23LO_Gee_01_1000.py,,,,,,,,,,,,,,,,,,,
305556,Pythia8EvtGen_A14NNPDF23LO_Gee_01_2000,e5080,0.011431,1.00E+00,1,,,#DIV/0!,RS Graviton -> e e,Pythia8(v8.210)+EvtGen(v1.2.0),"['BSM', 'RandallSundrum', 'exotic', 'graviton']","RS Graviton > ee, m = 2000. GeV, kappaMG = 0.524.",https://gitlab.cern.ch/atlas-physics/pmg/infrastructure/mc15joboptions/-/tree/master/share/DSID305xxx/MC15.305556.Pythia8EvtGen_A14NNPDF23LO_Gee_01_2000.py,,,,,,,,,,,,,,,,,,,
305559,Pythia8EvtGen_A14NNPDF23LO_Gee_01_3000,e5080,0.00070001,1.00E+00,1,,,#DIV/0!,RS Graviton -> e e,Pythia8(v8.210)+EvtGen(v1.2.0),"['BSM', 'RandallSundrum', 'exotic', 'graviton']","RS Graviton > ee, m = 3000. GeV, kappaMG = 0.524.",https://gitlab.cern.ch/atlas-physics/pmg/infrastructure/mc15joboptions/-/tree/master/share/DSID305xxx/MC15.305559.Pythia8EvtGen_A14NNPDF23LO_Gee_01_3000.py,,,,,,,,,,,,,,,,,,,
305562,Pythia8EvtGen_A14NNPDF23LO_Gee_01_4000,e5080,6.41E-05,1.00E+00,1,,,#DIV/0!,RS Graviton -> e e,Pythia8(v8.210)+EvtGen(v1.2.0),"['BSM', 'RandallSundrum', 'exotic', 'graviton']","RS Graviton > ee, m = 4000. GeV, kappaMG = 0.524.",https://gitlab.cern.ch/atlas-physics/pmg/infrastructure/mc15joboptions/-/tree/master/share/DSID305xxx/MC15.305562.Pythia8EvtGen_A14NNPDF23LO_Gee_01_4000.py,,,,,,,,,,,,,,,,,,,
305568,Pythia8EvtGen_A14NNPDF23LO_Gmumu_01_750,e5080,2.3952,1.00E+00,1,,,#DIV/0!,RS Graviton -> mu mu,Pythia8(v8.210)+EvtGen(v1.2.0),"['BSM', 'RandallSundrum', 'exotic', 'graviton']","RS Graviton > mumu, m = 750. GeV, kappaMG = 0.524.",https://gitlab.cern.ch/atlas-physics/pmg/infrastructure/mc15joboptions/-/tree/master/share/DSID305xxx/MC15.305568.Pythia8EvtGen_A14NNPDF23LO_Gmumu_01_750.py,,,,,,,,,,,,,,,,,,,
305571,Pythia8EvtGen_A14NNPDF23LO_Gmumu_01_1000,e5080,0.56835,1.00E+00,1,,,#DIV/0!,RS Graviton -> mu mu,Pythia8(v8.210)+EvtGen(v1.2.0),"['BSM', 'RandallSundrum', 'exotic', 'graviton']","RS Graviton > mumu, m = 1000. GeV, kappaMG = 0.524.",https://gitlab.cern.ch/atlas-physics/pmg/infrastructure/mc15joboptions/-/tree/master/share/DSID305xxx/MC15.305571.Pythia8EvtGen_A14NNPDF23LO_Gmumu_01_1000.py,,,,,,,,,,,,,,,,,,,
